Id,Sentence,Category
12,does red e toby nemiciamici start thirteen hours from now,SearchScreeningEvent
18,find the schedule for for films at star theatres,SearchScreeningEvent
24,movie times at consolidated theatres,SearchScreeningEvent
32,find the dead matter at speakeasy theaters,SearchScreeningEvent
40,when is the third eye showing at dickinson theatres,SearchScreeningEvent
49,i d like to go to douglas theatre company to see in beaver valley what times will the movie be playing,SearchScreeningEvent
64,which movie theatre with clean and sober is closest to me,SearchScreeningEvent
66,give me a list of films that play in the neighbourhood,SearchScreeningEvent
88,give me showtimes for the tenth woman at the movie house,SearchScreeningEvent
90,find animated movies movie schedule in the neighborhood,SearchScreeningEvent
96,find movie schedules for star theatres,SearchScreeningEvent
111,give me the morning movie schedules,SearchScreeningEvent
113,what is the movie schedule near me,SearchScreeningEvent
115,what animated movies are showing in the neighborhood,SearchScreeningEvent
133,is terminal station at cinemark theatres,SearchScreeningEvent
145,tell me what films are around here,SearchScreeningEvent
147,what movie theatre has a matter of wife and death,SearchScreeningEvent
159,i d like to watch movies now right nearby,SearchScreeningEvent
161,give me the schedule for getting there: sweet 16 and licensed to drive,SearchScreeningEvent
165,find the schedule for the cup winner at the closest movie house,SearchScreeningEvent
167,can i get the showtimes for films at dickinson theatres,SearchScreeningEvent
170,find half a truth,SearchScreeningEvent
173,what time is one night stand showing at cineplex odeon corporation,SearchScreeningEvent
182,what films are playing at marcus corporation,SearchScreeningEvent
185,what time is thick as thieves playing at santikos theatres,SearchScreeningEvent
188,what movies are playing at the closest movie house,SearchScreeningEvent
199,is the umbrellas of cherbourg playing near me,SearchScreeningEvent
204,show me the movie schedules for movies playing around here today,SearchScreeningEvent
206,what do the movie schedules at b&b theatres look like,SearchScreeningEvent
224,what time is the daring dobermans playing,SearchScreeningEvent
227,can i get the movie schedule for 8 a m,SearchScreeningEvent
233,what films are playing at the closest cinema,SearchScreeningEvent
236,what time is a ball at the anjo house playing,SearchScreeningEvent
240,find time for all about hash,SearchScreeningEvent
241,show the movie schedules,SearchScreeningEvent
242,movie schedules at amc theaters,SearchScreeningEvent
269,show me movie schedules,SearchScreeningEvent
278,what time is rites of spring playing at marcus corporation,SearchScreeningEvent
