Id,Sentence,Category
0,play something from 1971 by john bonham,PlayMusic
6,play turbulence wild streetdanz from jeff buckley,PlayMusic
13,play any song from 2006,PlayMusic
19,play some music by mark heard,PlayMusic
20,play adrian borland s music on zvooq,PlayMusic
23,play music on last fm,PlayMusic
26,let s play the album handover on deezer,PlayMusic
27,play playlist funtime,PlayMusic
44,play a movement from 1974,PlayMusic
45,i want to hear opera on netflix,PlayMusic
52,play music from the seventies,PlayMusic
55,play music from 1976 on deezer,PlayMusic
58,can you play a song from the newest movement by prince on lastfm,PlayMusic
59,play music from jeremy taylor on the album dormi amore la situazione non è buona on groove shark,PlayMusic
60,play new music from liang wern fook,PlayMusic
73,play me something by funtwo,PlayMusic
75,play kaori mochida s most popular music on google music,PlayMusic
78,play wanted by erykah badu,PlayMusic
79,play a song from my workout playlist on groove shark,PlayMusic
84,i d like to hear helen baylor,PlayMusic
98,play the latest thelma aoyama,PlayMusic
107,play some nineties eliza carthy,PlayMusic
108,play some krzysztof penderecki on last fm,PlayMusic
117,play some music from 1958 on deezer,PlayMusic
119,play a tune or two from kansas city missouri,PlayMusic
124,play the sound track by ferry corsten,PlayMusic
126,play a sixties track by noam pikelny on iheart,PlayMusic
127,play crucifixion on deezer,PlayMusic
128,wish to hear a concerto by diplo from 1952,PlayMusic
138,play piano ballads on netflix,PlayMusic
155,play blues on vimeo,PlayMusic
162,play some erin harkes from the fifties on lastfm,PlayMusic
166,in google music play the top singles released in 1972,PlayMusic
176,play a chant from the fifties,PlayMusic
177,play some chant music from 2008,PlayMusic
196,play lukasz gottwald album on zvooq,PlayMusic
197,i d like to hear one of eric clapton s most popular melody on pandora,PlayMusic
200,use groove shark to play the today and tomorrow album,PlayMusic
207,play some mark tremonti from the thirties,PlayMusic
217,please play a song for me from 1959,PlayMusic
219,play 1966 theme music on slacker,PlayMusic
225,play jeff pilson on youtube,PlayMusic
230,play a twenties track by the aj carothers on zvooq,PlayMusic
252,play tina cousins from 1956,PlayMusic
258,play music from 2012 on google music,PlayMusic
261,can you play something off my kids workout playlist on groove shark,PlayMusic
266,play dancing through life by ronald isley on spotify,PlayMusic
267,play some avantgarde music on netflix,PlayMusic
273,play a song off the best of siouxsie & the banshees by faustino oramas,PlayMusic
