Id,Sentence,Category
8,is it going to be warm today at saint martin in port orford,GetWeather
10,will it get chillier within walking distance of pw,GetWeather
16,is it humid in parc national de killarney,GetWeather
21,what s the weather forecast ten years from now in mount victory macao,GetWeather
29,is it cloudy in georgia,GetWeather
34,what s the weather forecast at sixteen in oklahoma,GetWeather
36,i need a time of 21 minutes from now for here,GetWeather
41,what s the weather going to be like near moldova on fri,GetWeather
47,is it going to be windy faraway from the valley of fire,GetWeather
50,whats the temperature not far from valley of fire,GetWeather
56,what will it feel like in the current place in july,GetWeather
63,what will the weather be like not far from alabama on may 9 2037,GetWeather
68,at ten am what will the weather be like nearby in cyprus,GetWeather
71,show me the forecast for 6 years from now in westlake village in guinea,GetWeather
76,will it be rainy faraway in charleston lake provincial park in 13 hours,GetWeather
80,check the forecast for orson for around 9 pm,GetWeather
85,weather at bystrzyca valley landscape park,GetWeather
89,tell me the weather for next week at cathedral state park,GetWeather
93,will it be chilly at boggs mountain demonstration state forest,GetWeather
102,tell me the weather forecast for niue,GetWeather
103,what is the october 19th forecast for iran,GetWeather
106,is snowfall forecast in pa,GetWeather
118,weather for turtle river state park,GetWeather
120,what s the weather in waretown lebanon,GetWeather
129,what is the nine am weather forecast for nationalpark midongy du sud,GetWeather
130,what will the weather be like 56 weeks from now will there be sun in tabor,GetWeather
136,congress has warmer weather,GetWeather
142,what s the weather in piperton rwanda,GetWeather
151,what will the weather be like in india at 02:55:25 am,GetWeather
174,what is the weather like in colorado,GetWeather
189,what is the weather like in midfield iowa today,GetWeather
198,what is the midnight forecast for argentina,GetWeather
203,will it be warmer in ristigouche ecological reserve on nov the twentieth,GetWeather
205,will it be cold in chatmoss albania 8 years and a half from now,GetWeather
208,will it be warm in zambia at 9 pm,GetWeather
209,weather for close-by parc national de kolkheti,GetWeather
212,check the weather forecast for chisholm kentucky,GetWeather
214,how is the weather in mount olivet,GetWeather
229,what is the mississippi for the week,GetWeather
234,will it be rainy this monday in le center thailand,GetWeather
243,will it be freezing here at 06:31:22 am,GetWeather
244,does wildorado have a hot temperature,GetWeather
254,what is the weather for my current place,GetWeather
259,what is the forecast starting on september 1 2039 for chillier conditions in ak,GetWeather
268,will it be sunny in spain on 3/26/2023,GetWeather
270,what is the humidity like in leoti,GetWeather
274,how much hotter will it be here tomorrow,GetWeather
279,what will the weather be in nationalpark rila on nov 25,GetWeather
