Id,Sentence,Category
1,i d like to give a two rating to the abolition of britain,RateBook
4,give this textbook zero out of 6 points,RateBook
15,please rate the current textbook with 5 stars out o 6,RateBook
22,give zero / 6 stars to the current album,RateBook
28,rate hunting and gathering a two,RateBook
31,please provide the rainbow mars series a zero out of 6 points,RateBook
35,rate this novel three out of 6 stars,RateBook
57,rate voyage in the dark 3 of 6,RateBook
65,contemporary religious satanism gets a 3 rating,RateBook
69,rate the current novel 5 of 6 points,RateBook
94,the forest should be rated a four,RateBook
116,give star trek: the motion picture a five out of 6,RateBook
125,i want to give elephants can remember 4 out of 6 points,RateBook
139,rate the last opium den 0 points,RateBook
140,give four / 6 points to empire of death,RateBook
141,rate the crossing 3 of 6,RateBook
156,i give this last novel only 1 points,RateBook
168,the great science fiction stories about mars series deserves a rating of zero,RateBook
171,rate the current album one points,RateBook
172,this chronicle gets a three out of 6,RateBook
186,rate this series one stars,RateBook
190,rate the current essay one out of 6,RateBook
192,give five stars to the general saga,RateBook
193,freud: the mind of the moralist should be rated 2 stars with a best rating of 6,RateBook
194,i am rating this book under the series section a three out of 6 stars,RateBook
202,i d rate the current essay 1 stars,RateBook
213,i feel that zero out of 6 points would be the rating of queen of the dawn,RateBook
231,rate steps two out of 6 points,RateBook
235,rate equal affections one points,RateBook
246,rate this essay four out of 6,RateBook
256,this series gets 2 out of 6 stars,RateBook
260,give two points out of 6 to this essay,RateBook
262,i would rate this album a 3,RateBook
263,rate the current essay 2 out of 6,RateBook
264,rate the current album a 2,RateBook
271,rate the change 0 out of 6 points,RateBook
