Id,Sentence,Category
9,book for crepes at a restaurant in sint maarten,BookRestaurant
37,book the union oyster house in guanica puerto rico,BookRestaurant
38,book a spot for my colleague and i at a pizzeria with a pool in owings mills wisconsin,BookRestaurant
39,book a table in greece for 4,BookRestaurant
43,i need to book a restaurant in fork mountain sc for valarie mari and i,BookRestaurant
46,book a reservation for seven people at a highly rated restaurant that serves moroccan food in east greenville,BookRestaurant
54,book a spot for ten in upper marlboro pr,BookRestaurant
62,reserve a smoking room at the restaurant,BookRestaurant
72,book a restaurant for ten in exmore at sunset,BookRestaurant
81,book a reservation for a gastropub serving liver and onions,BookRestaurant
86,book a restaurant in macedonia for 13 hours from now,BookRestaurant
92,need to book a restaurnt for a party of nine on thomas jefferson s birthday,BookRestaurant
95,find a table at a restaurant in bynum ca at 09:59 pm,BookRestaurant
121,book a restaurant for three people in jenkins,BookRestaurant
132,i d like to get a restaurant booked on mar fourteenth in md,BookRestaurant
135,in delanson 1 hour from now reserve a table for four,BookRestaurant
143,book a reservation for seven people at a bakery in osage city,BookRestaurant
146,i d like a table for five at any restaurant,BookRestaurant
149,this winter meredith betty and erika want to food at a gastropub that is in the same area as fran s location,BookRestaurant
157,book the nearby meriton grand hotel tallinn in missouri,BookRestaurant
164,i want to eat at a scandinavian restaurant that is highly rated in bonita texas,BookRestaurant
180,book a spot for one at the wolseley at elevenses,BookRestaurant
187,find me a creole restaurant,BookRestaurant
195,i need to book a pub for 8 that has wifi,BookRestaurant
210,book a table at skycity in salado for me and hannah,BookRestaurant
215,book a reservation for nine at an outdoor restaurant,BookRestaurant
218,book a restaurant for 2 at a cafe that i can get a croissant at,BookRestaurant
220,i want a table for eight in yakima rhode island,BookRestaurant
222,i d like to book a reservation for next spring for nine people at shore club,BookRestaurant
239,find a reservation at sunset at a gastropub for 2 people,BookRestaurant
250,book a restaurant on martin luther king jr day with parking,BookRestaurant
251,book a reservation for seven people at a steakhouse in kenya,BookRestaurant
255,book a table for nine people next mar,BookRestaurant
265,i need to find a restaurant in pw,BookRestaurant
275,book a table for 9 people for four pm in johnson,BookRestaurant
