Id,Sentence,Category
5,add i roy to my this is rosana playlist,AddToPlaylist
11,add opus de funk to my list acoustic blues,AddToPlaylist
17,add tunnel of love to ethel s metal crash course palylist,AddToPlaylist
33,add live from aragon ballroom to trapeo,AddToPlaylist
42,add the tune to my epic classical playlist,AddToPlaylist
48,add megon mcdonough indie songs for slackers to my playlist artist,AddToPlaylist
61,marcia carolus rex should get added to my women of sxsw playlist,AddToPlaylist
70,add the tune to the indie workout playlist,AddToPlaylist
74,i want to add kiara to my digster future hits playlist,AddToPlaylist
77,add hanging on to my just dance by aftercluv playlist,AddToPlaylist
82,add my belgian rose to my evening list,AddToPlaylist
83,include the past behind in my top 100 rock tracks on spotify playlist,AddToPlaylist
97,my timeless love songs playlist should include viderunt omnes,AddToPlaylist
100,i want to add this so chan whee tune to latin alternative music,AddToPlaylist
101,add hemanta kumar mukhopadhyay album in funky jams,AddToPlaylist
105,put this track on my infinite indie folk playlist,AddToPlaylist
110,add album to my fairy tales,AddToPlaylist
114,incorporate a roberto parra sandoval track into the cena elegante playlist,AddToPlaylist
123,add the album to rosanna s ejercicio playlist,AddToPlaylist
134,put sungmin into my summer playlist,AddToPlaylist
160,add a mina caputo album to my after hours party,AddToPlaylist
163,add this artist to primavera sound 2016 barcelona,AddToPlaylist
169,add this tune by hart wand on this is wagner,AddToPlaylist
175,add connee boswell to the relaxing playlist,AddToPlaylist
178,add this album to my adrenaline workout,AddToPlaylist
179,add madchild to electro latino,AddToPlaylist
184,add artist to latin pop hits,AddToPlaylist
191,add that was only yesterday the last ep to my afternoon train ride playlist,AddToPlaylist
216,add an abrar ul haq track to my playlist soul lounge,AddToPlaylist
228,add ali lohan songs in club hits,AddToPlaylist
237,add this extended play to women s lit playlist,AddToPlaylist
245,add this is andrés calamaro by milk,AddToPlaylist
247,add décadas to my list neo da matrix,AddToPlaylist
248,add mc ren to my it s a southern thing playlist,AddToPlaylist
257,include kunnon syy in my trap land playlist,AddToPlaylist
272,add rattus at the roundhouse to my funk playlist,AddToPlaylist
